id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,sentiment
42,@keluargadapyna,"Seru kalo udah ada gus miftah ke close the door,hiburan nya dapet ilmunya juga dapet",UgwC0yXZlfKA9UM4v0N4AaABAg,,0,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=UgwC0yXZlfKA9UM4v0N4AaABAg,2023-12-13 21:43:11,0,"Seru kalo udah ada gus miftah ke close the door,hiburan nya dapet ilmunya juga dapet",http://www.youtube.com/@keluargadapyna,netral
43,@artgaes2474,"Gak semua orang bisa jadi Youtuber cuan, gak semua orang bisa sukses jualan online, Gak semua orang bisa jadi seniman yang buka jasa freelance online, terus mereka ya jadi Penjudi online aja. sosoan WFH.",UgzuehHsLGkxQMlO_AZ4AaABAg,,0,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=UgzuehHsLGkxQMlO_AZ4AaABAg,2023-12-13 2:39:14,0,"Gak semua orang bisa jadi Youtuber cuan, gak semua orang bisa sukses jualan online, Gak semua orang bisa jadi seniman yang buka jasa freelance online, terus mereka ya jadi Penjudi online aja. sosoan WFH.",http://www.youtube.com/@artgaes2474,negatif
44,@anisa4220,Higgs domino island di jakarta pusat iya Slot Judi online iya,UgwOGL6ZwmhCXgYgH6x4AaABAg,,0,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=UgwOGL6ZwmhCXgYgH6x4AaABAg,2023-12-04 9:07:00,0,Higgs domino island di jakarta pusat iya Slot Judi online iya,http://www.youtube.com/@anisa4220,negatif
45,@blurpramono5158,Gara gara podcast ini SPJ jadi ilang 😭,UgyZVzwGETnkf1kVEEJ4AaABAg,,0,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=UgyZVzwGETnkf1kVEEJ4AaABAg,2023-12-02 12:29:20,0,Gara gara podcast ini SPJ jadi ilang 😭,http://www.youtube.com/@blurpramono5158,negatif
46,@emilyemily4946,Apa yang ingin Anda bicarakan?,Ugxwz6QYyq2Xmimp9th4AaABAg,,1,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=Ugxwz6QYyq2Xmimp9th4AaABAg,2023-12-01 1:23:18,1,Apa yang ingin Anda bicarakan?,http://www.youtube.com/@emilyemily4946,netral
47,@emilyemily4946,eemil...,Ugxwz6QYyq2Xmimp9th4AaABAg.9xli_3QYMdu9xlie5x36cR,@emilyemily4946,1,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=Ugxwz6QYyq2Xmimp9th4AaABAg.9xli_3QYMdu9xlie5x36cR,2023-12-01 1:23:59,0,eemil...,http://www.youtube.com/@emilyemily4946,netral
48,@bastianfarel2485,KOMINFO TIDAK PECUS,UgzBU2fCAu96C0hYHjl4AaABAg,,0,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=UgzBU2fCAu96C0hYHjl4AaABAg,2023-11-30 7:54:04,0,KOMINFO TIDAK PECUS,http://www.youtube.com/@bastianfarel2485,negatif
49,@bastianfarel2485,SAYA MURTAD GARA2 MAIN DOMINO PRAGAMATIC. DAN TIDAK PERCAYA TUHAN,UgzId7b6nXN0E6tQEM94AaABAg,,0,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=UgzId7b6nXN0E6tQEM94AaABAg,2023-11-30 7:53:52,0,SAYA MURTAD GARA2 MAIN DOMINO PRAGAMATIC. DAN TIDAK PERCAYA TUHAN,http://www.youtube.com/@bastianfarel2485,negatif
50,@zibitgaming5308,"Coba om undang, kominfo dan kapolri... Jumlah polisi di indonesia kan jutaan masa sih gk ada yg mampu brantas judi.",UgybmaO18AJ6NG5rVjF4AaABAg,,0,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=UgybmaO18AJ6NG5rVjF4AaABAg,2023-11-27 1:34:51,0,"Coba om undang, kominfo dan kapolri... Jumlah polisi di indonesia kan jutaan masa sih gk ada yg mampu brantas judi.",http://www.youtube.com/@zibitgaming5308,positif
51,@aldoirawan3329,"Masyarakat kita udah kenyang sama cerita ""adu nasib"" Dan ""from zero to hero"" 😂😂😂 tapi mereka lupa apa yg mereka hadapi 😂😂😂😂",Ugz5fdwATKD-7JkscUB4AaABAg,,0,https://www.youtube.com/watch?v=brA4tbgGkNQ&lc=Ugz5fdwATKD-7JkscUB4AaABAg,2023-11-24 1:33:45,0,"Masyarakat kita udah kenyang sama cerita ""adu nasib"" Dan ""from zero to hero"" 😂😂😂 tapi mereka lupa apa yg mereka hadapi 😂😂😂😂",http://www.youtube.com/@aldoirawan3329,netral
