id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,sentiment
1491,@herlanbandung7298,"Mantap tu org,malu gua",UgyP4hRTgyq-gd0KAVN4AaABAg,,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgyP4hRTgyq-gd0KAVN4AaABAg,2023-05-04 9:23:17,0,"Mantap tu org,malu gua",http://www.youtube.com/@herlanbandung7298,positif
1492,@bonusbonus9651,Al Qur'an hanya bisa menegangkan kontol lain tidak bisa,Ugyr5WrAsOPz9W6i2zF4AaABAg,,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=Ugyr5WrAsOPz9W6i2zF4AaABAg,2023-05-04 7:26:10,2,Al Qur'an hanya bisa menegangkan kontol lain tidak bisa,http://www.youtube.com/@bonusbonus9651,netral
1493,@mamangguin,Goblok anjeng lu,Ugyr5WrAsOPz9W6i2zF4AaABAg.9pHxVlyyT8D9pbz30-tQT6,@bonusbonus9651,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=Ugyr5WrAsOPz9W6i2zF4AaABAg.9pHxVlyyT8D9pbz30-tQT6,2023-05-12 11:23:45,0,Goblok anjeng lu,http://www.youtube.com/@mamangguin,netral
1494,@PoetraLosari-rs6qr,Minum obat bang TDR org baru lahir kemarin aja udah main sok iyee,Ugyr5WrAsOPz9W6i2zF4AaABAg.9pHxVlyyT8D9qC2U1MpcMU,@bonusbonus9651,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=Ugyr5WrAsOPz9W6i2zF4AaABAg.9pHxVlyyT8D9qC2U1MpcMU,2023-05-26 20:54:18,0,Minum obat bang TDR org baru lahir kemarin aja udah main sok iyee,http://www.youtube.com/@PoetraLosari-rs6qr,netral
1495,@baltazhor200401,cara berbicara yang teratur dan cara bereaksi serta cara menjelaskannya ... ini orang cerdas ini .. alhamdulilah memilih jalan untuk berdakwah ... kalian semua yang muslim ... tolonglah .. jaga baik2 orang ini ...,UgwdiH53noBNRgRQfS54AaABAg,,75,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgwdiH53noBNRgRQfS54AaABAg,2023-05-04 4:10:06,0,cara berbicara yang teratur dan cara bereaksi serta cara menjelaskannya ... ini orang cerdas ini .. alhamdulilah memilih jalan untuk berdakwah ... kalian semua yang muslim ... tolonglah .. jaga baik2 orang ini ...,http://www.youtube.com/@baltazhor200401,netral
1496,@gabrielgiovanno1154,"udah kaya banyak uang, baru lu tobat dan tiba"" jadi ustad wkwkwk, gimanapun juga lu menikmati uang haram itu,, dan lu gak pernah bicarain para pejabat dan aparat yang berbisnis judi online",UgyOosAZOnKGdyyr9Wh4AaABAg,,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgyOosAZOnKGdyyr9Wh4AaABAg,2023-05-04 2:21:19,0,"udah kaya banyak uang, baru lu tobat dan tiba"" jadi ustad wkwkwk, gimanapun juga lu menikmati uang haram itu,, dan lu gak pernah bicarain para pejabat dan aparat yang berbisnis judi online",http://www.youtube.com/@gabrielgiovanno1154,positif
1497,@feinsproduct,30:00 -35:00 mantul,Ugw85DJLnFiVc-Cg1y94AaABAg,,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=Ugw85DJLnFiVc-Cg1y94AaABAg,2023-05-03 23:13:51,0,30:00 -35:00 mantul,http://www.youtube.com/@feinsproduct,netral
1498,@Nabi_Islam_ke27,"Tobat setelah duit ludes, banyak hutang, debt collector mengintai setiap saat hidup ketakutan. Bagaimana cara membayar dan menghindar dari kejaran debt collector dan ngembaliin harta yg ludes, salah satu cara jadi mualaf sampah kabur ke negeri sampah jualan agama lain. Asooyyy geboyyy.. donasi mulai masuk uang ludes mulai balik tapi belum kaya... Tambah kaya lagi bagaimana? mulai menista agama Kristen agama no.2 di Wakanda donasi makin banyak mengalir makin kaya. Orang seperti ini pada dasarnya tidak percaya sama Pencipta, hanya sekedar nyari pendaringan alias Tuhannya adalah Fulus.... Penyembah Fulus.",Ugx7UYgo_xwX1yWD_ll4AaABAg,,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=Ugx7UYgo_xwX1yWD_ll4AaABAg,2023-05-03 22:28:55,0,"Tobat setelah duit ludes, banyak hutang, debt collector mengintai setiap saat hidup ketakutan. Bagaimana cara membayar dan menghindar dari kejaran debt collector dan ngembaliin harta yg ludes, salah satu cara jadi mualaf sampah kabur ke negeri sampah jualan agama lain. Asooyyy geboyyy.. donasi mulai masuk uang ludes mulai balik tapi belum kaya... Tambah kaya lagi bagaimana? mulai menista agama Kristen agama no.2 di Wakanda donasi makin banyak mengalir makin kaya. Orang seperti ini pada dasarnya tidak percaya sama Pencipta, hanya sekedar nyari pendaringan alias Tuhannya adalah Fulus.... Penyembah Fulus.",http://www.youtube.com/@Nabi_Islam_ke27,positif
1499,@katainfo,"Berkata seorang Ahli Hikmah : Jika manusia tidak mempunyai penasehat didalam hatinya,maka segala nasehat yang diberikan orang orang bijak, tidak akan dapat mendatangkan manfaat baginya, manusia berbeda dengan batu, batu tidak memerlukan perjuangan dalam dirinya untuk berubah menjadi patung. Setiap makhluk hidup butuh nutrisi. Nutrisi untuk tubuh adalah makanan dan minuman. Nutrisi untuk akal adalah ilmu. Dan nutrisi untuk hati adalah Al-Quran. Penuhilah nutrisi anda setiap hari agar anda tetap sehat.",UgwD2tAJ6OdT7SN_NfB4AaABAg,,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgwD2tAJ6OdT7SN_NfB4AaABAg,2023-05-03 20:08:34,0,"Berkata seorang Ahli Hikmah : Jika manusia tidak mempunyai penasehat didalam hatinya,maka segala nasehat yang diberikan orang orang bijak, tidak akan dapat mendatangkan manfaat baginya, manusia berbeda dengan batu, batu tidak memerlukan perjuangan dalam dirinya untuk berubah menjadi patung. Setiap makhluk hidup butuh nutrisi. Nutrisi untuk tubuh adalah makanan dan minuman. Nutrisi untuk akal adalah ilmu. Dan nutrisi untuk hati adalah Al-Quran. Penuhilah nutrisi anda setiap hari agar anda tetap sehat.",http://www.youtube.com/@katainfo,netral
1500,@cheppywachyudi1566,Ini org cerdas asli,Ugwa-LPmDsTmAhVq5lR4AaABAg,,1,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=Ugwa-LPmDsTmAhVq5lR4AaABAg,2023-05-03 14:07:54,0,Ini org cerdas asli,http://www.youtube.com/@cheppywachyudi1566,negatif
1501,@annisahidayah5077,"YaAllah abang makasiiii, ilmu bangat buat penguat iman. Alhamdulillah😢",UgyZuoCdBANQ6plJ6C54AaABAg,,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgyZuoCdBANQ6plJ6C54AaABAg,2023-05-03 12:46:53,0,"YaAllah abang makasiiii, ilmu bangat buat penguat iman. Alhamdulillah😢",http://www.youtube.com/@annisahidayah5077,netral
1502,@putridika9172,"Suka cara koh denis ngomong, ademm",UgzeN_ChBZqI-IqD21V4AaABAg,,1,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgzeN_ChBZqI-IqD21V4AaABAg,2023-05-03 12:44:13,0,"Suka cara koh denis ngomong, ademm",http://www.youtube.com/@putridika9172,netral
1503,@BROKEP_EXE,Orang yang masih judi slot 👇,UgxSc6spEdECSwd18ut4AaABAg,,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgxSc6spEdECSwd18ut4AaABAg,2023-05-03 11:35:14,0,Orang yang masih judi slot 👇,http://www.youtube.com/@BROKEP_EXE,netral
1504,@imanpangkas7226,Amiin yarob,UgyP0ehH_jkhEKAPlgN4AaABAg,,0,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgyP0ehH_jkhEKAPlgN4AaABAg,2023-05-03 11:10:28,0,Amiin yarob,http://www.youtube.com/@imanpangkas7226,netral
1505,@ipunkfreedom1716,Kesimpulan tentang dia cerita judi insa Allah gua berenti judi..,Ugxpgy78fhkADkcD_nd4AaABAg,,1,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=Ugxpgy78fhkADkcD_nd4AaABAg,2023-05-03 10:45:58,0,Kesimpulan tentang dia cerita judi insa Allah gua berenti judi..,http://www.youtube.com/@ipunkfreedom1716,positif
1506,@pakmulyono6026,Ending ceritanya isinya kuliah pranikah... ❤,UgypcDLwDtXg0B38Lb54AaABAg,,1,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgypcDLwDtXg0B38Lb54AaABAg,2023-05-03 10:02:05,0,Ending ceritanya isinya kuliah pranikah... ❤,http://www.youtube.com/@pakmulyono6026,netral
1507,@kozumachannel,This is awesome.,UgzrXrdzmRl5gjFsZ7J4AaABAg,,1,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgzrXrdzmRl5gjFsZ7J4AaABAg,2023-05-03 9:08:40,0,This is awesome.,http://www.youtube.com/@kozumachannel,netral
1508,@KosasiAbang-bo3wb,"Semoga koh denis dn istri slalu seht wal afiat ,اللَّـه brkn kelancaran rezeki yg hlal dn brkh. Ilmu yg mnfaat untuk di sampaikn kepada kaum muslimin dn muslimat",UgzA5KN_RLPWL7eSUpd4AaABAg,,18,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgzA5KN_RLPWL7eSUpd4AaABAg,2023-05-03 8:31:57,0,"Semoga koh denis dn istri slalu seht wal afiat ,اللَّـه brkn kelancaran rezeki yg hlal dn brkh. Ilmu yg mnfaat untuk di sampaikn kepada kaum muslimin dn muslimat",http://www.youtube.com/@KosasiAbang-bo3wb,netral
1509,@a.n.g0973,"Keren banget si ini episode podcast.. Sering"" Bang undang orang"" Kaya koh dennis..",UgzkJNd14jbHwLKUDNR4AaABAg,,4,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgzkJNd14jbHwLKUDNR4AaABAg,2023-05-03 8:18:57,0,"Keren banget si ini episode podcast.. Sering"" Bang undang orang"" Kaya koh dennis..",http://www.youtube.com/@a.n.g0973,netral
1510,@KosasiAbang-bo3wb,"Cakep bngt pemaparan koh denis ini, ngrti juga ilmu nahwu shorof,,ngrti Alqur,an dn trjemah.",UgyPbxaxCaxHAYdKVuJ4AaABAg,,9,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgyPbxaxCaxHAYdKVuJ4AaABAg,2023-05-03 8:17:10,0,"Cakep bngt pemaparan koh denis ini, ngrti juga ilmu nahwu shorof,,ngrti Alqur,an dn trjemah.",http://www.youtube.com/@KosasiAbang-bo3wb,netral
1511,@romniromni457,"MasyaAllah, nangis sy mndengr nya ustaz, kisah yg sangat luar biasa, hidayah yg luar biasa, masyaAllah isinya gizi smua, ko Dennis terima kasih sharing ny, tlh di bagi KPD kmi smua, temaksih, masyaAllah Allahuakbar😭😭😭",UgyG-9iRQv6P7Kz4pYV4AaABAg,,4,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgyG-9iRQv6P7Kz4pYV4AaABAg,2023-05-03 5:37:25,0,"MasyaAllah, nangis sy mndengr nya ustaz, kisah yg sangat luar biasa, hidayah yg luar biasa, masyaAllah isinya gizi smua, ko Dennis terima kasih sharing ny, tlh di bagi KPD kmi smua, temaksih, masyaAllah Allahuakbar😭😭😭",http://www.youtube.com/@romniromni457,netral
1512,@rennosuseno-9773,Mending mati kelaparan. Dari pada makan hasil judi. Pekerjaan halal masih banyak bro.,Ugz0lfIvlNl-jNcKX5l4AaABAg,,1,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=Ugz0lfIvlNl-jNcKX5l4AaABAg,2023-05-03 4:18:30,0,Mending mati kelaparan. Dari pada makan hasil judi. Pekerjaan halal masih banyak bro.,http://www.youtube.com/@rennosuseno-9773,positif
1513,@bram8619,Makasih info baiknya,UgyEB8HsojxVnHo9XCF4AaABAg,,1,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgyEB8HsojxVnHo9XCF4AaABAg,2023-05-03 3:19:52,0,Makasih info baiknya,http://www.youtube.com/@bram8619,netral
1514,@yungah5170,Terima kasih denis. Saya udah stop judi slot ama dadu judi online .udah nonton tentang kisah ini sya udah bisa stop judi selamanya,UgzDNXrh6UqrDndZSgt4AaABAg,,10,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgzDNXrh6UqrDndZSgt4AaABAg,2023-05-03 1:47:38,0,Terima kasih denis. Saya udah stop judi slot ama dadu judi online .udah nonton tentang kisah ini sya udah bisa stop judi selamanya,http://www.youtube.com/@yungah5170,positif
1515,@hunarisetyawan9680,itulah namanya hidayah dari Allah SWT 🙏,UgzXE8D4WI_9SGAoUn94AaABAg,,3,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgzXE8D4WI_9SGAoUn94AaABAg,2023-05-03 1:00:45,0,itulah namanya hidayah dari Allah SWT 🙏,http://www.youtube.com/@hunarisetyawan9680,netral
1516,@JL39,"Cerdas banget ,srius ini beliau .",UgzW7_F8sGX3YGlXJzF4AaABAg,,1,https://www.youtube.com/watch?v=MsuHPBsiPok&lc=UgzW7_F8sGX3YGlXJzF4AaABAg,2023-05-02 23:07:31,0,"Cerdas banget ,srius ini beliau .",http://www.youtube.com/@JL39,netral
