id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,sentiment
247,@user-kx8vi8hy8i,Ya kalau ada yg ketahuan kerja di judi online.. Balik ke indonesia... Wajib dibully aja... Biar shock terus bundir... Biar tau dia nasib org yg dijeratnya.. Yg udah bundir jg..,UgwF8mxMs9bSY7scqdt4AaABAg,,0,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=UgwF8mxMs9bSY7scqdt4AaABAg,2023-10-16 17:58:28,0,Ya kalau ada yg ketahuan kerja di judi online.. Balik ke indonesia... Wajib dibully aja... Biar shock terus bundir... Biar tau dia nasib org yg dijeratnya.. Yg udah bundir jg..,http://www.youtube.com/@user-kx8vi8hy8i,positif
248,@user-nq3tf8fq7n,"Om AIMAN SAYA SEKARANG JADI PECANDU SLOT OM BERHARAP UANG KEMBALI,, MAKIN KESINI SAYA MAKIN MISKIN OM MAIN SLOT EUROTOGEL UANG HABIS OM TOLONG BRANTAS OM SITUS JUDI ONLINE OM",Ugy4eDAl6_aTx0K67YN4AaABAg,,0,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=Ugy4eDAl6_aTx0K67YN4AaABAg,2023-10-16 11:49:57,0,"Om AIMAN SAYA SEKARANG JADI PECANDU SLOT OM BERHARAP UANG KEMBALI,, MAKIN KESINI SAYA MAKIN MISKIN OM MAIN SLOT EUROTOGEL UANG HABIS OM TOLONG BRANTAS OM SITUS JUDI ONLINE OM",http://www.youtube.com/@user-nq3tf8fq7n,negatif
249,@supriadiginanjar6109,Apakah judi online dan pinjol muncul disaat situasi ekonomi masyarakat???,UgzzpHkJ9o72g2eL-mB4AaABAg,,0,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=UgzzpHkJ9o72g2eL-mB4AaABAg,2023-10-16 8:59:49,0,Apakah judi online dan pinjol muncul disaat situasi ekonomi masyarakat???,http://www.youtube.com/@supriadiginanjar6109,negatif
250,@adiiiii7388,Org yg prnh trlibat brita² tntang judol gw yakin sa*mb*,Ugz49Rhcv4DetVpk2Gh4AaABAg,,0,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=Ugz49Rhcv4DetVpk2Gh4AaABAg,2023-10-16 7:23:11,0,Org yg prnh trlibat brita² tntang judol gw yakin sa*mb*,http://www.youtube.com/@adiiiii7388,netral
251,@adiiiii7388,Ingat bro gan sis jgn maen slot lg..plis...uang indonesia tidak muter..itu yg akan mnjadi bom waktu..gara gara slot daya beli jd brkurang,UgwYaCJaGJwSEBAjtPp4AaABAg,,0,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=UgwYaCJaGJwSEBAjtPp4AaABAg,2023-10-16 7:21:05,0,Ingat bro gan sis jgn maen slot lg..plis...uang indonesia tidak muter..itu yg akan mnjadi bom waktu..gara gara slot daya beli jd brkurang,http://www.youtube.com/@adiiiii7388,positif
252,@sitisulasminetwork-jh6kk,"Ayo semua negara tutup judi online tik tok Shopee lazada, itu penjajahan tidak memakmurkan rakyat",UgwCA7RwKaVPMayIDoJ4AaABAg,,0,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=UgwCA7RwKaVPMayIDoJ4AaABAg,2023-10-15 21:48:25,0,"Ayo semua negara tutup judi online tik tok Shopee lazada, itu penjajahan tidak memakmurkan rakyat",http://www.youtube.com/@sitisulasminetwork-jh6kk,negatif
253,@mampangmampang1687,"Subhanallah,semoga kang deriansah dan kang Alman di mudahkan segala usaha mulyana",UgyWTPWlyOsU8clG9kB4AaABAg,,2,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=UgyWTPWlyOsU8clG9kB4AaABAg,2023-10-15 20:26:44,0,"Subhanallah,semoga kang deriansah dan kang Alman di mudahkan segala usaha mulyana",http://www.youtube.com/@mampangmampang1687,netral
254,@msolih656,Gila...,Ugy7iR51rPXThVNIfBx4AaABAg,,0,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=Ugy7iR51rPXThVNIfBx4AaABAg,2023-10-15 19:00:08,0,Gila...,http://www.youtube.com/@msolih656,netral
255,@msolih656,Jalur tiktok,UgyI5u8W_plbNfsCBBB4AaABAg,,0,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=UgyI5u8W_plbNfsCBBB4AaABAg,2023-10-15 18:40:27,0,Jalur tiktok,http://www.youtube.com/@msolih656,netral
256,@airzavv,INIKAN MUDAH NGELACAK NYA... KALAU TOPUP KELIATAN KOK AGGREGATOR NYA PERUSAHAAN APA,Ugw8a2ztLgNJiBIuv_Z4AaABAg,,0,https://www.youtube.com/watch?v=1F_C4ESr3q0&lc=Ugw8a2ztLgNJiBIuv_Z4AaABAg,2023-10-15 17:48:47,0,INIKAN MUDAH NGELACAK NYA... KALAU TOPUP KELIATAN KOK AGGREGATOR NYA PERUSAHAAN APA,http://www.youtube.com/@airzavv,positif
